PaperID,Authors,Article Title,Year,Source title,Abstract
11,Ananth D.V.N.; Hannoon N.; Yunus M.S.B.M.; Jamaludin M.H.B.; Sameer Charavarthy V.V.S.S.; Chowdary P.S.R.,Real-time power quality measurement audit of government building – A case study in compliance with IEEE 1159,2023,Acta IMEKO,"Power Quality (PQ) measurements and auditing play a vital role for smart grid applications, industrial safety and reliability. The major electrical PQ characteristics and parameters, like Voltage Sags/Swells, Harmonic Distortion, Voltage Unbalance, Voltage Variation & Flicker, and Supply Interruptions, are studied with the aim of maintaining the international or national standards. The electrical characteristics are studied and analyzed for single-phase and poly-phase systems in this IEEE 1159 recommended practice. The significant PQ constraints and parameters, like electromagnetic interference phenomenon deviation from the regular operation due to load equipment or source to load interaction, are described. Further, it is discussed PQ different monitoring devices, roles, and applications. In this paper, power quality monitoring of the equipment using FLUKE instrument and accessories to identify the equipment performance, audit, PQ issues are discussed practically for a two-panel boards switchgear equipment as a case study in Malaysia. Here, trends in voltage and current changes with current imbalances were observed on 1st May 2019 morning 8'o clock and on 7th May 2019 evening at 9'0 clock. © 2023 International Measurement Confederation (IMEKO). All rights reserved."
12,Pei S.; Sun H.; Sun Z.; Hu C.; Zhu Y.,High-Precision Semantic Segmentation of Point Clouds for Primary Equipment in Substations Based on DI-PointNet; [基于 DI-PointNet 的变电站主设备点云高精度语义分割方法],2025,Diangong Jishu Xuebao/Transactions of China Electrotechnical Society,"In substation robot inspection tasks, high-precision semantic segmentation of 3D point cloud data is one of the key technologies. Traditional point cloud semantic segmentation algorithms have certain limitations, making it difficult to handle complex 3D scenes. Deep learning methods have compensated for the shortcomings of traditional point cloud semantic segmentation algorithms and have become the main method for achieving point cloud semantic segmentation. However, existing point cloud segmentation methods for substations face issues such as high complexity, low accuracy, and gradient vanishing. To address these issues and achieve accurate segmentation of the main equipment point cloud in substations, this paper proposes a high-precision semantic segmentation method for substation main equipment point clouds based on DI-PointNet. Firstly, on the basis of the PointNet++ network structure, a double-layer consecutive transformer (DLCTransformer) module is introduced. Key points are sampled through the DLCTransformer to enhance information interaction between point clouds and expand the effective receptive field. Secondly, a hierarchical key sampling strategy is adopted. The point cloud data is divided into the original dense point cloud space and a sparse point cloud space formed after farthest point sampling. These are then divided into multiple non-overlapping 3D windows, ultimately generating key values required for self-attention mechanism calculations, thereby reducing computational complexity, improving the model’s receptive field, and aggregating long-range context to achieve information interaction of substation-associated point clouds. Finally, an inverted residual module (InvResMLP) based on residual connections and inverted bottleneck design is added to the network. This enhances the model’s ability to extract complex structural features from substation point clouds while effectively reducing the gradient vanishing problem, making the algorithm more robust in handling complex substation scenarios and improving the accuracy of semantic segmentation of substation main equipment point clouds. Additionally, to validate the segmentation effectiveness of the algorithm, this paper uses Avia LiDAR equipment to collect point cloud images of different devices at substations such as the Baobei substation in Baoding City. The original data includes transformers, switchgear, steel towers, insulators, maintenance equipment, and others (mainly vegetation and buildings). To simplify the point cloud data while filtering noise, the original input point cloud is first subjected to grid sampling with a grid size of 0.03 m. Data augmentation methods such as z-axis rotation, scaling, perturbation, and color reduction are employed. The initial window size is set to 0.12 m and is doubled after each down-sampling layer. The DI-PointNet is trained using the cross-entropy loss function and Adam optimizer with the following hyperparameters: initial learning rate of 0.001, batch size of 2, and 100 epochs. To ensure the reasonableness and accuracy of the experiments, the comparative algorithms used in this paper are trained using the same hardware platform, environment version, loss function, optimizer, hyperparameters, and training strategies as DI-PointNet. Through ablation experiments and comparative analysis, the DI-PointNet algorithm proposed in this paper improves the overall accuracy (OA) value of substation point cloud segmentation by 3.4 percentage points compared to before the improvement, while reducing algorithm complexity. The proposed algorithm outperforms other mainstream deep learning algorithms and other point cloud segmentation algorithms in the power sector. The performance of this algorithm is close to the accuracy of manual segmentation and can achieve precise segmentation of substation point clouds. © 2025 China Machine Press. All rights reserved."
13,Eshghi S.,"Transformer, switchgear and UPS design considerations",2023,Consulting-Specifying Engineer,"When it comes to designing industrial power systems, many design decisions must be made. This case study shows some of the common key design decisions that must be made in an industrial setting. Other factors such as site-specific standards, regional codes and standards, equipment lead time and client expectations would impact the overall design decisions to specify a complete and functional electrical distribution system that meets the client’s construction and operational targets."
14,Jovcic D.,"Feasibility Study of a Medium Voltage 12 kV, 1 kA, LC DC Circuit Breaker",2024,"IEEE PES Innovative Smart Grid Technologies Europe, ISGT EUROPE 2024","The paper studies design options for a 12 kV, 1 kA LC DC Circuit Breaker with multiple possible applications in future MV DC systems. The stresses on all main components are analysed under conservative assumptions, and evaluation of their implementation is provided. The ultrafast disconnector is the key component that is assumed to have 6 break points with 2.5 m/s rod velocity and 2 ms opening time. The peak current stress is obtained on detailed PSCAD simulation model as Icp=4.7 kA, with conservative assumptions for protection system. The parallel capacitor is the largest component, with the calculated main parameters VCs=18 kV, Cs=250 μF, and estimated weight of m=80 kg. The total energy dissipation is 220 kJ, that can be accommodated with 2 standard 5 kV railway arresters (210 kJ), while Cs takes another 10 kJ. The low-voltage pre-charged film capacitor Cch =6mF, 0.8 kV is of modest weight. It is concluded that the design is feasible with expected competitive performance and cost, relative to the commercial HV DC breakers.  © 2024 IEEE."
15,Yang X.; Hu D.; Liu Z.; Liu Y.; Hu J.; Yuan H.; Yang X.,Study on Aging Status Classification and Recognition of Epoxy Resin Insulators Based on Chromatic Feature Extraction,2024,"2024 3rd International Conference on Energy, Power and Electrical Technology, ICEPET 2024","As the power industry continues to develop, switchgear plays a critical role in ensuring the safe and stable operation of distribution networks. However, insulators within high-voltage cabinets tend to age and deteriorate in insulation performance over long-term operation, with online identification and assessment being challenging. This paper investigates the correlation between the aging extent of insulators and the characteristics of discoloration based on experimental studies, aiming to assess the aging of insulators through the recognition of varying degrees of discoloration. Initially, the insulators are subjected to accelerated thermal aging tests at 220 degrees Celsius in a high-temperature oven for various durations. Subsequently, the aged insulators are analyzed through mass loss testing and partial discharge testing, which provide metrics correlating to different levels of discoloration and aging. Using image processing techniques, the RGB values of each image are extracted as indicators of discoloration, establishing a relationship between the color change characteristics of epoxy resin insulators and their aging status. This method facilitates the prediction of aging levels through color changes in epoxy resin insulator columns and is expected to find wide applications in the power industry. © 2024 IEEE."
16,Gui Y.; Ji H.; Xin F.; Liu R.; Wang Z.; Luo Z.,Simulation of characteristic gas diffusion of air switchgear,2024,Proceedings of SPIE - The International Society for Optical Engineering,"Due to the large internal volume of the switch cabinet, when the characteristic gas is generated due to partial discharge and other faults, it will show different distribution in each position of the switch cabinet. In this paper, by building a real switch cabinet model, the characteristic gas diffusion process of a specific gas generation position is simulated. By setting the gas product ratio and boundary conditions, the dynamic diffusion process of NO2 and O3 in the switch cabinet at different times is analyzed, and the phenomenon is explained and analyzed. Through the summary of the diffusion law, combined with the switch cabinet structure and gas distribution, the optimal detection position of the gas sensor is obtained, which provides theoretical and data support for the experiment. © 2024 SPIE."
17,Xu Z.; Yan J.; Wu Y.; Lu X.,Analysis of Ultrasonic Signal Propagation of Partial Discharge in Gas Insulated Switchgear,2024,ICEPE-ST 2024 - 7th International Conference on Electric Power Equipment - Switching Technology,"Partial discharge (PD) is a significant element contributing to insulation degradation in gas-insulated switchgear (GIS). The ultrasonic detection method is a non-destructive approach commonly employed for PD detection in power equipment, as it is immune to electromagnetic interference. Hence, the paper simulates and analyses the propagation of ultrasonic signals in the interior by building a simplified model of GIS three-dimensional finite element simulation. To analyze the propagation pattern and amplitude change of the partial discharge ultrasonic signal sound pressure in space, the propagation path of the ultrasonic wave and the attenuation of the sound wave in the case of a single PD source. Simulation results show that ultrasonic waves propagate in the form of spherical waves through transient analysis, and ultrasonic waves propagate in the GIS gas chamber with multipath effect and non-line-of-sight effect, the ultrasonic signals attenuate significantly with distance and medium, and the central conductor seriously impedes the propagation of ultrasonic waves. The results of the study have positive significance for the optimal arrangement of ultrasonic sensors, and provide a basis for ultrasonic PD positioning. © 2024 IEEE."
18,Krishna A.; Brindha V.; Mishra A.; Uthaman K.,AR-Driven Smart Homes: Enhancing Automation and User Experience,2024,Lecture Notes in Networks and Systems,"The proposed study presents the design and implementation of an innovative home automation system leveraging Augmented Reality (AR) technology to enhance user interaction and control over electrical appliances. Augmented Reality offers a dynamic platform for creating personalized and interactive content, aligning with the goal of making home automation more intuitive and accessible. The primary objective is to develop a user-friendly application that generates AR buttons for controlling various electrical appliances. These AR buttons are displayed as 3D models on mobile devices, accessible via web browsers. The application’s data is securely transmitted to a server, which in turn sends control commands to an ESP-32 microcontroller, effectively replacing traditional switchboards. A significant innovation is the use of image-based targets to enable seamless interaction with virtual buttons. Users can effortlessly control lighting, door locks, and air conditioning through intuitive virtual interfaces, improving the overall efficiency and convenience of home automation. The primary focus lies on the integration of AR technology into a smart home ecospace to create a more intuitive and interactive user experience and contributes to the ongoing efforts to simplify and enhance daily life through the convergence of digital technology and the physical environment. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024."
19,Song J.; Mao J.; Qiu N.; Hou L.; Zhang Q.; Zhang P.; Kong W.; Zhao D.,Research on Diagnosis Technology for Ultra High Voltage Gas Operations Based on Ensemble Learning,2024,"Proceedings - 2024 9th Asia Conference on Power and Electrical Engineering, ACPEE 2024","Gas insulated switchgear (GIS) is the core equipment of ultra-high voltage power grids. The control technology of GIS installation is currently a weak link in the full life cycle management of power assets. This article introduces the architecture of smart gas operations and analyzes the necessity of deploying intelligent dangers diagnosis algorithms at edge gateways. Analyzed he status monitoring methods and hidden dangers in smart gas operations, and fuse heterogeneous data such as pressure, micro water, and gas purity for feature construction. An intelligent diagnosis method for hidden dangers in gas operations based on ensemble learning has been proposed. The PSO-XGBoost model was used to achieve intelligent identification of seven types of safety dangers, including air chamber defects, non-standard operations, and machine failures. Finally, the effectiveness of the diagnostic method was verified through algorithm comparison. The diagnostic technology for ultra-high voltage gas operations proposed in this article provides important technical support for the construction of ultra-high voltage intelligent installation and control platforms.  © 2024 IEEE."
20,Yuan C.; Ding X.; Zhu L.; Chen H.; Li Y.; Shen L.; Zhang H.,Eddy Current Loss Distribution Model Based on Temperature Field Simulation,2023,Proceedings of SPIE - The International Society for Optical Engineering,"During the operation of the substation, the main reason for the heating of the switchgear is the eddy current loss. In the daily operation and maintenance of the substation and loss statistics, for some switchgears in the area of direct conductive equipment, there is an abnormal local overheating phenomenon. The main reason for this phenomenon is the eddy current loss in the substation, which seriously affects the safe operation of substation equipment due to the heating defect. This paper analyzes the local overheating problem in substation switchgear and proposes the distribution of eddy current loss and its influencing factors of optimization strategy from the aspect of loss source design. Based on the Maxwell equation, the loss calculation model is established. The optimization method of eddy current loss is comprehensively evaluated according to the distribution characteristics of eddy current loss. The temperature of the bushing surface under different voltage levels is measured, and the error between the calculated results and the measured results is within 2%. Therefore, within the allowable error range, the simulation results and the formula calculation results can fit the measured values well, which verifies the correctness of the established wall bushing heating simulation model and temperature calculation formula. The optimal solution is made to provide a reliable basis for the actual engineering construction. The electric field energy of the bushing is relatively evenly distributed under the actual operating conditions, and the insulating materials are fully utilized to ensure the reliability under high ambient temperature and high current operating conditions. © 2023 SPIE."
21,Liu J.; Liu Y.; Fang C.; Ma H.,Electric Field Analysis and Optimization of Embedded Pole Applied in 72.5 kV Gas Insulated Switchgear Cabinet,2024,"2024 4th International Conference on Electrical Engineering and Control Science, IC2ECS 2024","The insulation analysis and optimization of high voltage level embedded pole is of great significance to avoid the occurrence of surface discharge. In this paper, the finite element calculation method is used to obtain the electric field distribution of the 72.5kV embedded pole. It is found that the electric field intensity near the outlet end and the insulating rod is large, and insulation breakdown is easy to occur. Then, the electric field optimization of the embedded pole is carried out by improving the structure of the insulation shell at the outlet end and increasing the voltage equalization shield of the insulating rod. The optimized simulation results show that the electric field intensity decreases significantly. Finally, the withstand voltage experiment was carried out on the optimized embedded pole prototype, and no partial discharge phenomenon occurred, which proved the feasibility of the optimization scheme and provided a reference for the insulation design of embedded pole with similar structure.  © 2024 IEEE."
22,Xue N.; Li Q.; Wang Y.; Yang R.; Yang N.; Zhang F.,Spatial-temporal Dynamic Characteristics and Agglomeration Explosion Phenomenon of Micron-nano Dust Adsorption Along the Insulator Interface in GIS; [GIS 内微纳粉尘沿绝缘子界面吸附的时空动力学特性与团聚爆炸现象],2025,Gaodianya Jishu/High Voltage Engineering,"Gas insulated switchgear(GIS) is an indispensable physical support for the construction of new energy power system.Statistical analyses on ultra/ultra-high voltage discharge faults in ten years show that the discharge of metal particles and dusts accounts for more than 60%, the existing ultra-high frequency, ultrasonic sensing and other technical means can be used to achieve better online monitoring for large-size particles with sub-millimeter and above; however, micron-nano dusts are unable to be effectively characterized by the existing technology due to high randomness and, hidden and inevitable existence, thus it is very likely to be hidden in the back of the “safety killer”. Therefore, in accordance with the difficulty in detecting micron-nano dust and the complexity of the mechanism, a micron-nano dust adsorption experimental platform suitable for observation and suitable for the actual operation of GIS is constructed, and it is found that the adsorption state of micron-nano dust in the electric field mainly consists of agglomerative adsorption along the insulator interface and diffusive adsorption along the direction of the ground electrode, and the key factors influencing the behavior of the movement include the initial position of the micron-nano dust, the quality, the material, and the applied voltage; it is further clarified that micron-nano dust may be the hidden safety killer behind. The special physical phenomena in the adsorption process are further clarified. Agglomerative adsorption will occur on the surface of the epoxy resin insulator to form a micron-nano dust speckle, meanwhile, with the increase of voltage, the micro-nano dust speckle will “explode” to form an annular dust halo, and the contour of the halo will be deepened, etc., which is different from that of the starting adsorption, and such special physical phenomena are considered to induce the flashover along the face of the insulator. This kind of special physical phenomenon is a necessary condition for inducing flashover along the surface. Finally, the physical mechanism of flashover along the surface triggered by micron-nano dust is revealed, and the localized short-circuit area and violent electric field distortion constituted by dust speckle are the important predisposing factors of micron-nano dust induced flashover along the surface, reducing the breakdown voltage up to 71%. In this paper, the research on the dynamic characteristics of micro-nano dust adsorption can provide a theoretical basis and technical support for improving the safe operation level of AC/DC GIS insulation. © 2025 Science Press. All rights reserved."
23,Chen X.; Chen X.; Chen Z.; Wang C.; Guo W.; Lin X.,Analysis of the Substation Life Cycle Carbon Emission,2023,Lecture Notes in Electrical Engineering,"Climate change and global warming have become an important environmental issue for humans, and the pace of controlling carbon emissions has accelerated. Electricity systems need to be low-carbon, and the carbon emission of the substation is worth studying. This paper presents the calculation method of carbon emission in a substation’s full lifecycle, including equipment manufacturing and materials, construction and equipment installation, operation and maintenance, and demolition and disposal. A certain substation’s carbon emissions are calculated at each stage in detail. The result shows that the carbon emissions are mainly from the operation and maintenance stage, and the principal source of carbon emissions is electrical equipment and the use of sulfur hexafluoride (SF6) gas in gas-insulated switchgear (GIS) equipment. And the corresponding low-carbon technologies are briefly discussed, which provides a direction for the construction of the low-carbon substation. © 2023, Beijing Paike Culture Commu. Co., Ltd."
